Frequency (Hz)	Level (dB)
888.671875	-53.027817
889.648438	-52.880280
890.625000	-53.834362
891.601562	-53.504528
892.578125	-52.670265
893.554688	-52.185425
894.531250	-52.447655
895.507812	-52.102261
896.484375	-52.313347
897.460938	-53.389942
898.437500	-52.353062
899.414062	-52.229305
900.390625	-53.109982
901.367188	-52.922981
902.343750	-54.346024
903.320312	-53.497227
904.296875	-52.726940
905.273438	-53.607948
906.250000	-54.497749
907.226562	-55.121235
908.203125	-53.553944
909.179688	-55.061623
910.156250	-54.179840
911.132812	-54.401024
912.109375	-54.494549
913.085938	-54.136044
914.062500	-54.587315
915.039062	-54.436970
916.015625	-54.600094
916.992188	-54.598900
917.968750	-54.187218
918.945312	-55.860161
919.921875	-55.849976
920.898438	-56.002914
921.875000	-56.059784
922.851562	-55.132381
923.828125	-55.294548
924.804688	-55.532837
925.781250	-55.430328
926.757812	-55.253124
927.734375	-55.658257
928.710938	-56.158390
929.687500	-56.374344
930.664062	-55.917423
931.640625	-55.155190
932.617188	-55.901569
933.593750	-55.518589
934.570312	-55.853405
935.546875	-55.284966
936.523438	-56.078167
937.500000	-56.144402
938.476562	-56.794579
939.453125	-55.166782
940.429688	-54.626888
941.406250	-56.011440
942.382812	-55.955719
943.359375	-55.860020
944.335938	-56.756111
945.312500	-55.664795
946.289062	-56.689842
947.265625	-56.791386
948.242188	-56.514538
949.218750	-57.161545
950.195312	-57.823811
951.171875	-57.840572
952.148438	-56.901028
953.125000	-57.854263
954.101562	-57.588627
955.078125	-57.923458
956.054688	-56.891827
957.031250	-58.147602
958.007812	-57.393661
958.984375	-57.439426
959.960938	-56.753696
960.937500	-57.609222
961.914062	-58.316357
962.890625	-56.902267
963.867188	-57.042740
964.843750	-56.030975
965.820312	-57.086433
966.796875	-57.758999
967.773438	-56.806496
968.750000	-57.637211
969.726562	-56.428585
970.703125	-56.286686
971.679688	-57.679298
972.656250	-56.791023
973.632812	-56.867031
974.609375	-58.289692
975.585938	-56.547478
976.562500	-57.466358
977.539062	-57.041668
978.515625	-56.802650
979.492188	-57.789131
980.468750	-57.515968
981.445312	-56.912479
982.421875	-56.702702
983.398438	-56.605816
984.375000	-56.258194
985.351562	-57.192146
986.328125	-58.302216
987.304688	-58.340073
988.281250	-56.584663
989.257812	-58.529583
990.234375	-57.640495
991.210938	-57.952095
992.187500	-57.178707
993.164062	-56.923836
994.140625	-56.838333
995.117188	-57.147053
996.093750	-56.843735
997.070312	-58.452602
998.046875	-57.003956
999.023438	-57.733044
1000.000000	-56.539280
1000.976562	-57.419384
1001.953125	-58.647202
1002.929688	-58.083565
1003.906250	-57.261189
1004.882812	-55.671124
1005.859375	-55.979946
1006.835938	-56.999592
1007.812500	-56.708611
1008.789062	-55.827629
1009.765625	-56.915184
1010.742188	-56.263042
1011.718750	-57.587894
1012.695312	-57.306335
1013.671875	-57.135479
1014.648438	-55.985054
1015.625000	-57.343025
1016.601562	-55.804665
1017.578125	-56.812717
1018.554688	-56.907600
1019.531250	-57.237869
1020.507812	-57.188618
1021.484375	-56.276566
1022.460938	-56.360802
1023.437500	-55.467560
1024.414062	-56.807678
1025.390625	-56.334423
1026.367188	-56.149864
1027.343750	-56.711243
1028.320312	-56.274544
1029.296875	-56.913918
1030.273438	-55.168655
1031.250000	-57.571678
1032.226562	-56.551605
1033.203125	-55.657543
1034.179688	-55.718784
1035.156250	-56.311783
1036.132812	-56.099335
1037.109375	-55.455109
1038.085938	-56.079933
1039.062500	-56.236515
1040.039062	-57.236126
1041.015625	-56.042088
1041.992188	-55.114120
1042.968750	-56.955139
1043.945312	-55.202557
1044.921875	-55.455956
1045.898438	-54.802605
1046.875000	-54.892723
1047.851562	-54.888821
1048.828125	-54.529106
1049.804688	-53.677841
1050.781250	-53.656799
1051.757812	-54.864822
1052.734375	-54.645447
1053.710938	-54.390015
1054.687500	-55.504181
1055.664062	-55.476700
1056.640625	-54.766747
1057.617188	-53.678535
1058.593750	-55.486568
1059.570312	-55.320312
1060.546875	-55.395397
1061.523438	-54.990620
1062.500000	-54.352379
1063.476562	-55.254967
1064.453125	-53.916946
1065.429688	-54.968231
1066.406250	-54.253948
1067.382812	-53.057114
1068.359375	-53.098148
1069.335938	-54.473164
1070.312500	-54.484676
1071.289062	-54.214336
1072.265625	-53.885483
1073.242188	-52.774311
1074.218750	-55.869652
1075.195312	-54.281776
1076.171875	-52.597176
1077.148438	-51.880787
