Frequency (Hz)	Level (dB)
895.507812	-58.535881
896.484375	-57.898144
897.460938	-57.026676
898.437500	-57.149254
899.414062	-56.054291
900.390625	-57.640179
901.367188	-55.845684
902.343750	-55.980427
903.320312	-55.440395
904.296875	-56.450706
905.273438	-54.324711
906.250000	-54.360958
907.226562	-55.407661
908.203125	-54.925983
909.179688	-54.259953
910.156250	-54.029030
911.132812	-54.886745
912.109375	-54.427753
913.085938	-54.247047
914.062500	-55.462177
915.039062	-54.976593
916.015625	-55.656178
916.992188	-55.346069
917.968750	-56.549755
918.945312	-55.912693
919.921875	-57.143162
920.898438	-57.469753
921.875000	-56.799980
922.851562	-58.292217
923.828125	-58.578869
924.804688	-58.527737
925.781250	-57.375671
926.757812	-59.402515
927.734375	-59.412842
928.710938	-59.407665
929.687500	-61.869980
930.664062	-60.057552
931.640625	-59.535110
932.617188	-60.059933
933.593750	-60.785828
934.570312	-60.219486
935.546875	-61.610592
936.523438	-61.760674
937.500000	-60.408665
938.476562	-62.432617
939.453125	-62.026779
940.429688	-61.026760
941.406250	-62.056828
942.382812	-61.923351
943.359375	-62.994907
944.335938	-63.486511
945.312500	-61.919559
946.289062	-63.129715
947.265625	-64.118416
948.242188	-62.827408
949.218750	-62.742764
950.195312	-62.795219
951.171875	-63.790039
952.148438	-63.911366
953.125000	-63.826889
954.101562	-62.896118
955.078125	-64.569550
956.054688	-64.168640
957.031250	-63.589981
958.007812	-64.093140
958.984375	-63.609753
959.960938	-64.403877
960.937500	-61.662128
961.914062	-63.295158
962.890625	-63.736088
963.867188	-63.756969
964.843750	-63.751865
965.820312	-64.170769
966.796875	-64.900017
967.773438	-64.737328
968.750000	-64.433296
969.726562	-64.423866
970.703125	-64.401497
971.679688	-64.595848
972.656250	-64.538628
973.632812	-64.436340
974.609375	-64.588409
975.585938	-65.355576
976.562500	-64.404297
977.539062	-64.242577
978.515625	-64.009445
979.492188	-64.001678
980.468750	-63.293842
981.445312	-62.542465
982.421875	-63.315151
983.398438	-62.478130
984.375000	-64.259842
985.351562	-63.789837
986.328125	-62.841442
987.304688	-63.370739
988.281250	-63.002316
989.257812	-62.695557
990.234375	-63.410950
991.210938	-62.614769
992.187500	-62.808830
993.164062	-62.882599
994.140625	-61.635090
995.117188	-62.737175
996.093750	-62.187637
997.070312	-61.481800
998.046875	-60.803619
999.023438	-60.409740
1000.000000	-60.419441
1000.976562	-60.852287
1001.953125	-58.838390
1002.929688	-58.118176
1003.906250	-59.870350
1004.882812	-58.432060
1005.859375	-58.628567
1006.835938	-58.539352
1007.812500	-59.964851
